species	decimalLongitude	decimalLatitude
Didelphis marsupialis	-84.819189	10.317006
Alouatta palliata	-83.777864	10.210821
Choloepus hoffmanni	-84.15538	9.404129
Cebus imitator	-85.404542	10.37105
Pecari tajacu	-83.592073	8.477182
Alouatta palliata	-83.267031	10.149624
Dasyprocta punctata	-84.00957	10.455759
Saimiri oerstedii	-83.598345	8.905286
Dasyprocta punctata	-85.127251	10.451716
Rhynchonycteris naso	-84.019833	10.437821
Sciurus granatensis	-83.80457	9.551115
Bradypus variegatus	-84.578659	10.384644
Odocoileus virginianus	-85.664275	10.779751
Nasua narica	-84.667607	10.446639
Choloepus hoffmanni	-84.652053	10.471345
Procyon lotor	-85.693122	10.947408
Alouatta palliata	-84.68759	10.518359
Odocoileus virginianus	-85.128023	10.452661
Dasyprocta punctata	-83.284951	8.400235
Cebus imitator	-85.647605	10.642817
Pecari tajacu	-84.013494	10.427669
Bradypus variegatus	-84.971351	10.658282
Dasyprocta punctata	-84.814873	10.312969
Odocoileus virginianus	-83.753428	9.748917
Tapirella bairdii	-85.500288	10.822311
Saimiri oerstedii	-83.263211	8.549611
Ectophylla alba	-84.098742	10.563815
Nasua narica	-83.494542	8.448226
Rhynchonycteris naso	-84.004576	10.426101
Cuniculus paca	-83.787572	10.513881
Saimiri oerstedii	-83.241711	8.583676
Nasua narica	-85.401883	10.797043
Cebus imitator	-84.141525	9.405611
Nasua narica	-84.795303	10.30232
Sphiggurus mexicanus	-84.144194	9.387728
Canis latrans	-83.068905	8.957359
Ectophylla alba	-84.090667	10.532175
Nasua narica	-84.808973	10.311692
Procyon lotor	-84.155385	9.409262
Didelphis marsupialis	-85.670049	11.030961
Stenella attenuata	-83.369164	8.647679
Saimiri oerstedii	-83.478122	8.412731
Choloepus hoffmanni	-83.506923	10.448881
Choloepus hoffmanni	-82.833536	9.734585
Nasua narica	-84.808563	10.31898
Alouatta palliata	-84.753678	10.489738
Sciurus variegatoides	-84.050864	9.937205
Dasyprocta punctata	-83.202438	8.70145
Dasyprocta punctata	-84.144356	9.387335
Rhynchonycteris naso	-84.006609	10.433114
Nasua narica	-83.733189	8.622701
Alouatta palliata	-84.143901	9.382169
Alouatta palliata	-85.094458	10.460575
Alouatta palliata	-85.669418	10.590565
Dasyprocta punctata	-84.379981	9.939803
Choloepus hoffmanni	-82.712362	9.635395
Cebus imitator	-84.140034	9.38755
Saimiri oerstedii	-83.509077	8.926849
Sciurus variegatoides	-84.52353	9.911753
Ateles geoffroyi	-83.337171	8.586126
Alouatta palliata	-84.623676	9.774071
Nasua narica	-85.092885	9.587534
Cebus imitator	-84.143281	9.387086
Saccopteryx leptura	-85.350792	10.317111
Alouatta palliata	-84.144713	9.387164
Odocoileus virginianus	-85.098862	9.577585
Bradypus variegatus	-83.88175	9.27157
Stenella attenuata	-83.785834	8.723471
Sciurus variegatoides	-84.687207	10.503629
Sciurus variegatoides	-85.07837	9.626658
Bradypus variegatus	-83.938031	10.161853
Nasua narica	-84.823067	10.310853
Procyon lotor	-83.859231	9.252431
Tapirella bairdii	-83.441027	8.585094
Choloepus hoffmanni	-84.145683	9.381303
Sciurus variegatoides	-84.61142	9.808423
Sus scrofa	-84.627307	9.612217
Dasyprocta punctata	-84.068492	10.451941
Saimiri oerstedii	-83.179417	8.366038
Dasyprocta punctata	-82.723297	9.641542
Alouatta palliata	-85.28807	10.406905
Ateles geoffroyi	-84.909026	10.351899
Dasypus novemcinctus	-84.806144	10.306384
Cebus imitator	-84.586441	9.820511
Nasua narica	-84.138171	10.153473
Bradypus variegatus	-83.93723	10.16159
Megaptera novaeangliae	-83.727828	9.107267
